iter	Logloss
0	0.5920587395
1	0.5210846416
2	0.4767116937
3	0.4478157473
4	0.4198782909
5	0.3894583637
6	0.370112709
7	0.3483650934
8	0.3263405636
9	0.3178481603
10	0.3047056624
11	0.2966587933
12	0.2865640891
13	0.2759848882
14	0.2691708751
15	0.2625113076
16	0.255183817
17	0.249397702
18	0.2448867088
19	0.2399859195
20	0.2359577718
21	0.2320811098
22	0.230017598
23	0.226661201
24	0.2237869978
25	0.2195678226
26	0.2167761506
27	0.2152086716
28	0.2096320745
29	0.2075427699
30	0.206209789
31	0.2049719637
32	0.2034790066
33	0.2027372668
34	0.2018909088
35	0.1993055194
36	0.1988026618
37	0.1971879021
38	0.1957537818
39	0.194198327
40	0.1936208991
41	0.1929824749
42	0.1920467254
43	0.1915649142
44	0.1909492304
45	0.1904076015
46	0.1898441975
47	0.1887574441
48	0.1883127519
49	0.1868517933
50	0.1856207106
51	0.1851159689
52	0.1847973793
53	0.1843112007
54	0.1840815843
55	0.1838641307
56	0.1835502392
57	0.1832619886
58	0.1827710078
59	0.1824726923
60	0.1815048722
61	0.1812710174
62	0.1810956222
63	0.1806331864
64	0.180373731
65	0.1801712662
66	0.1796643675
67	0.1788678132
68	0.1787183391
69	0.1784228369
70	0.1782313616
71	0.1778624193
72	0.1774972734
73	0.1772142189
74	0.176908532
75	0.176420791
76	0.1762366172
77	0.1760098384
78	0.1758851477
79	0.1755884533
80	0.1754195155
81	0.1752205129
82	0.1746932123
83	0.1744173106
84	0.174283455
85	0.174093664
86	0.1739753651
87	0.173550697
88	0.1731190586
89	0.1730224873
90	0.1728829762
91	0.1728007256
92	0.1724342103
93	0.1723027108
94	0.1721537042
95	0.1719392599
96	0.1718383388
97	0.1717716172
98	0.1716406879
99	0.1715432977
100	0.1713086586
101	0.1711979504
102	0.1711028758
103	0.170833242
104	0.1706445534
105	0.1704830201
106	0.1704093986
107	0.1703310721
108	0.1702241565
109	0.1700778703
110	0.1699206766
111	0.169834362
112	0.1695870324
113	0.1695146478
114	0.1694113127
115	0.1693197795
116	0.1691528933
117	0.1690025173
118	0.1688703778
119	0.1687777238
120	0.1686952294
121	0.1684736902
122	0.1683106275
123	0.1681877344
124	0.1678003635
125	0.1673225838
126	0.1672209201
127	0.1670094914
128	0.1667977017
129	0.1666063118
130	0.1664822296
131	0.166263701
132	0.1661602274
133	0.1660639024
134	0.1659999073
135	0.1658412221
136	0.1656723496
137	0.1655846559
138	0.1655086615
139	0.1654122973
140	0.1651009427
141	0.1650468872
142	0.164949927
143	0.1648324916
144	0.1647701834
145	0.1645903686
146	0.1644666896
147	0.1640690088
148	0.1638665443
149	0.1636630864
150	0.1634008217
151	0.1631973397
152	0.1629161682
153	0.1627878362
154	0.1627093267
155	0.1625560257
156	0.1624674243
157	0.1623882609
158	0.1621775258
159	0.1620813618
160	0.1619511185
161	0.1617075775
162	0.161612293
163	0.1614578216
164	0.1613810373
165	0.1613305744
166	0.1612710993
167	0.1611274078
168	0.1610763835
169	0.1610060896
170	0.1609237441
171	0.1608788671
172	0.1607794632
173	0.1607101249
174	0.16063117
175	0.1605012556
176	0.1604334664
177	0.1603582821
178	0.1602371919
179	0.1601638119
180	0.1600474524
181	0.159920601
182	0.1598485285
183	0.159738838
184	0.1596452605
185	0.1595249587
186	0.1594475524
187	0.1593822269
188	0.159270128
189	0.1592203187
190	0.1591621868
191	0.1590342877
192	0.158982396
193	0.1588721884
194	0.1588051425
195	0.1587379173
196	0.1586511141
197	0.1585692267
198	0.1585109652
199	0.1584330199
200	0.1583450806
201	0.1583112698
202	0.1582659625
203	0.1582185939
204	0.158159962
205	0.1581151112
206	0.158065366
207	0.157988152
208	0.1578823204
209	0.1576941503
210	0.1575797805
211	0.1574576344
212	0.1573948114
213	0.1573259652
214	0.1572554222
215	0.157167058
216	0.1570916149
217	0.1570226745
218	0.1569761712
219	0.1569232708
220	0.1568717434
221	0.1567946463
222	0.1567335514
223	0.156690603
224	0.156588407
225	0.1565135365
226	0.1564483324
227	0.1563842182
228	0.1563042782
229	0.1562091401
230	0.1561250425
231	0.1560380807
232	0.1559953278
233	0.1559053978
234	0.155851219
235	0.1557269504
236	0.155666716
237	0.155584643
238	0.1555275348
239	0.1554359405
240	0.1553684935
241	0.155322152
242	0.1552466153
243	0.1551805654
244	0.1550978292
245	0.1550391177
246	0.155011754
247	0.1549667504
248	0.1549000485
249	0.1547824806
250	0.1546894778
251	0.1545882044
252	0.1545480905
253	0.1544972578
254	0.1544311351
255	0.1543465088
256	0.1542546657
257	0.154177402
258	0.1541007175
259	0.1540346006
260	0.1539511596
261	0.1539026976
262	0.1538556329
263	0.153810491
264	0.1537508263
265	0.1537044744
266	0.1536184484
267	0.1535534538
268	0.1534730578
269	0.1534144307
270	0.1533510361
271	0.1532102831
272	0.1531243719
273	0.1530412664
274	0.152995185
275	0.1529131347
276	0.1527370459
277	0.1526818166
278	0.1526150467
279	0.152552781
