iter	Passed	Remaining
399	36126	54189
400	36215	54098
401	36311	54014
402	36404	53928
403	36502	53849
404	36589	53754
405	36676	53659
406	36759	53558
407	36845	53461
408	36931	53366
409	37021	53275
410	37110	53182
411	37204	53097
412	37289	52999
413	37377	52905
414	37461	52807
415	37548	52711
416	37649	52637
417	37762	52578
418	37864	52504
419	37959	52420
420	38053	52334
421	38139	52239
422	38228	52146
423	38317	52053
424	38404	51959
425	38490	51863
426	38590	51785
427	38684	51700
428	38769	51602
429	38852	51502
430	38942	51410
431	39039	51329
432	39130	51240
433	39219	51147
434	39309	51057
435	39403	50971
436	39493	50880
437	39582	50789
438	39673	50698
439	39761	50605
440	39848	50510
441	39935	50415
442	40027	50327
443	40120	50240
444	40208	50148
445	40295	50053
446	40385	49962
447	40478	49875
448	40568	49785
449	40658	49693
450	40750	49604
451	40845	49520
452	40934	49428
453	41020	49332
454	41111	49243
455	41196	49146
456	41294	49065
457	41382	48972
458	41476	48886
459	41569	48799
460	41655	48703
461	41747	48614
462	41839	48527
463	41934	48441
464	42020	48346
465	42106	48250
466	42192	48155
467	42278	48059
468	42372	47974
469	42465	47886
470	42561	47802
471	42655	47716
472	42753	47634
473	42837	47536
474	42925	47443
475	43015	47352
476	43103	47260
477	43187	47162
478	43275	47070
479	43375	46990
480	43489	46925
481	43578	46833
482	43668	46741
483	43752	46645
484	43843	46555
485	43929	46460
486	44026	46377
487	44119	46288
488	44205	46194
489	44301	46109
490	44389	46016
491	44478	45924
492	44567	45832
493	44653	45738
494	44740	45644
495	44830	45553
496	44923	45465
497	45009	45370
498	45097	45277
499	45182	45182
500	45269	45088
501	45357	44996
502	45446	44904
503	45530	44807
504	45619	44716
505	45703	44619
506	45789	44524
507	45872	44428
508	45968	44342
509	46062	44256
510	46152	44165
511	46244	44077
512	46331	43982
513	46421	43892
514	46513	43803
515	46598	43708
516	46684	43614
517	46771	43521
518	46862	43431
519	46957	43345
520	47043	43251
521	47130	43158
522	47221	43067
523	47308	42974
524	47406	42891
525	47492	42797
526	47578	42702
527	47665	42609
528	47757	42520
529	47842	42425
530	47930	42333
531	48016	42240
532	48109	42152
533	48195	42058
534	48286	41968
535	48384	41885
536	48472	41792
537	48566	41705
538	48654	41613
539	48739	41518
540	48827	41426
541	48915	41334
542	49003	41242
543	49093	41151
544	49186	41063
545	49274	40971
546	49363	40880
547	49454	40790
548	49542	40699
549	49634	40610
550	49725	40520
551	49811	40426
552	49901	40336
553	49988	40243
554	50075	40150
555	50177	40069
556	50280	39989
557	50373	39901
558	50464	39812
559	50559	39725
560	50649	39634
561	50741	39545
562	50852	39471
563	50949	39386
564	51036	39293
565	51122	39200
566	51230	39122
567	51317	39030
568	51408	38940
569	51500	38851
570	51595	38764
571	51680	38670
572	51768	38578
573	51865	38492
574	51962	38407
575	52050	38314
576	52142	38225
577	52227	38131
578	52320	38043
579	52409	37951
580	52494	37857
581	52587	37769
582	52676	37677
583	52761	37583
584	52848	37490
585	52940	37401
586	53028	37309
587	53114	37216
588	53202	37124
589	53285	37028
590	53370	36934
591	53458	36842
592	53546	36751
593	53644	36665
594	53730	36572
595	53827	36487
596	53916	36396
597	54006	36305
598	54108	36222
599	54214	36143
600	54312	36057
601	54406	35969
602	54496	35879
603	54589	35790
604	54679	35699
605	54767	35607
606	54857	35517
607	54950	35428
608	55045	35341
609	55146	35257
610	55241	35170
611	55329	35078
612	55426	34991
613	55516	34901
614	55608	34811
615	55700	34722
616	55786	34628
617	55879	34540
618	55971	34450
619	56061	34360
620	56153	34270
621	56238	34176
622	56328	34086
623	56419	33996
624	56505	33903
625	56593	33811
626	56685	33722
627	56775	33631
628	56870	33543
629	56962	33453
630	57049	33362
631	57143	33273
632	57234	33183
633	57323	33092
634	57414	33002
635	57498	32907
636	57583	32814
637	57673	32723
638	57763	32633
639	57847	32539
640	57935	32447
641	58028	32358
642	58116	32267
643	58200	32172
644	58285	32079
645	58372	31987
646	58460	31895
647	58544	31801
648	58632	31710
649	58724	31620
650	58813	31529
651	58912	31444
652	59012	31359
653	59101	31267
654	59188	31175
655	59276	31084
656	59366	30993
657	59457	30903
658	59544	30811
659	59634	30720
660	59727	30631
661	59813	30539
662	59900	30446
663	59992	30357
664	60085	30268
665	60178	30179
666	60275	30092
667	60371	30004
668	60461	29914
669	60559	29827
670	60644	29734
671	60734	29644
672	60832	29557
673	60919	29465
674	61007	29373
675	61098	29283
676	61187	29192
677	61278	29102
678	61369	29012
679	61452	28919
680	61548	28830
681	61633	28738
682	61724	28648
683	61812	28556
684	61900	28465
685	61995	28376
686	62088	28287
687	62185	28200
688	62269	28107
689	62360	28017
690	62450	27926
691	62538	27834
692	62632	27746
693	62727	27657
694	62815	27566
695	62904	27475
696	63001	27388
697	63084	27294
698	63169	27201
699	63257	27110
700	63352	27021
701	63442	26931
702	63541	26844
703	63638	26757
704	63740	26671
705	63833	26582
706	63921	26490
707	64015	26401
708	64110	26313
709	64201	26223
710	64295	26134
711	64381	26041
712	64470	25951
713	64568	25863
714	64658	25772
715	64749	25682
716	64837	25591
717	64923	25499
718	65011	25407
719	65098	25316
720	65191	25226
721	65275	25133
722	65362	25042
723	65450	24950
724	65543	24861
725	65633	24770
726	65719	24678
727	65807	24587
728	65898	24497
729	65984	24405
730	66076	24315
731	66163	24223
732	66251	24132
733	66343	24042
734	66435	23952
735	66530	23864
736	66616	23772
737	66704	23680
738	66792	23589
739	66886	23500
740	66980	23411
741	67071	23321
742	67156	23228
743	67244	23137
744	67326	23044
745	67414	22953
746	67501	22862
747	67593	22772
748	67683	22681
749	67778	22592
750	67865	22501
751	67956	22411
752	68043	22319
753	68128	22227
754	68213	22135
755	68302	22044
756	68387	21952
757	68478	21862
758	68567	21771
759	68654	21680
760	68755	21593
761	68854	21505
762	68953	21417
763	69045	21328
764	69142	21239
765	69232	21149
766	69316	21057
767	69404	20965
768	69489	20874
769	69580	20783
770	69666	20692
771	69752	20600
772	69838	20508
773	69928	20418
774	70026	20330
775	70119	20240
